id,latitude,longtitude,days,time,transport,Tmode
1670645,39.99256,116.3269,1,7,bike,1
1670779,40.00614,116.3204,4,11,bike,1
1120178,39.9755,116.3289,1,20,walk,7
1020011,39.97901,116.3423,1,24,walk,7
1670645,39.99334,116.3268,1,29,bike,1
1670779,40.00616,116.3202,4,36,bike,1
1120178,39.97546,116.3287,1,42,walk,7
1020011,39.97866,116.3422,1,49,walk,7
1670645,39.99408,116.3268,1,51,bike,1
1120178,39.97541,116.3283,1,64,walk,7
1670645,39.99477,116.3268,1,73,bike,1
1020011,39.97824,116.3422,1,74,walk,7
1120178,39.97543,116.328,1,86,walk,7
1670645,39.99547,116.3266,1,95,bike,1
1020011,39.97792,116.3422,1,99,walk,7
1120178,39.97535,116.3278,1,108,walk,7
1670645,39.99625,116.3264,1,117,bike,1
1020011,39.97758,116.3421,1,124,walk,7
1120178,39.97501,116.3277,1,130,walk,7
1670645,39.99702,116.3263,1,139,bike,1
1020011,39.9772,116.3421,1,149,walk,7
1120178,39.97505,116.3274,1,152,walk,7
1670645,39.99779,116.3263,1,161,bike,1
1020011,39.97669,116.3425,1,174,walk,7
1120178,39.97472,116.3273,1,174,walk,7
1670645,39.99856,116.3263,1,183,bike,1
1120178,39.97438,116.3272,1,196,walk,7
1020011,39.97618,116.3425,1,199,walk,7
1670645,39.99925,116.326,1,205,bike,1
1120178,39.97417,116.3273,1,218,walk,7
1020011,39.97606,116.3423,1,224,walk,7
1670645,39.9998,116.3255,1,227,bike,1
1120178,39.97396,116.3274,1,240,walk,7
730012,39.9757,116.3311,3,241,walk,7
1670226,40.00616,116.3205,4,245,walk,7
1020011,39.97596,116.3424,1,249,walk,7
1670645,39.99976,116.3245,1,249,bike,1
730012,39.97599,116.3312,3,262,walk,7
1120178,39.97371,116.3273,1,262,walk,7
1670226,40.00618,116.3204,4,267,walk,7
1670645,39.99977,116.3235,1,271,bike,1
1020011,39.97613,116.3423,1,274,walk,7
730012,39.97592,116.3316,3,284,walk,7
1120178,39.97341,116.3273,1,284,walk,7
1670645,39.99973,116.3226,1,293,bike,1
1020011,39.97608,116.3422,1,299,walk,7
730012,39.97609,116.3316,3,306,walk,7
1120178,39.97308,116.3277,1,306,walk,7
1670645,40.0001,116.3218,1,315,bike,1
1020011,39.97648,116.3423,1,324,walk,7
1120178,39.97295,116.3275,1,328,walk,7
730012,39.9761,116.3318,3,330,walk,7
1670237,39.97682,116.3301,5,336,bike,1
1670645,40.00091,116.3217,1,337,bike,1
1020011,39.97658,116.3424,1,349,walk,7
1120178,39.9727,116.3275,1,350,walk,7
730012,39.97639,116.3319,3,352,walk,7
1670237,39.97687,116.3302,5,358,bike,1
1670645,40.00182,116.3217,1,359,bike,1
1120178,39.97245,116.3276,1,372,walk,7
730012,39.97655,116.3319,3,374,walk,7
1020011,39.97676,116.3424,1,374,walk,7
1670237,39.97697,116.3301,5,380,bike,1
1670645,40.00273,116.3215,1,381,bike,1
1120178,39.97266,116.3269,1,394,walk,7
730012,39.9771,116.3317,3,396,walk,7
1020011,39.97695,116.3425,1,399,walk,7
1670237,39.97691,116.3291,5,402,bike,1
1670645,40.00362,116.3215,1,403,bike,1
1120178,39.97243,116.3266,1,415,walk,7
730012,39.97736,116.3317,3,418,walk,7
1670237,39.97683,116.3278,5,423,bike,1
1020011,39.97681,116.3429,1,424,walk,7
1670645,40.00445,116.3214,1,425,bike,1
1120178,39.97229,116.3261,1,436,walk,7
730012,39.97756,116.3319,3,440,walk,7
1670237,39.97774,116.3275,5,445,bike,1
1670645,40.00536,116.3213,1,447,bike,1
1020011,39.97686,116.3435,1,449,walk,7
1120178,39.97246,116.3259,1,458,walk,7
730012,39.97774,116.3321,3,462,walk,7
1670237,39.97893,116.3277,5,467,bike,1
1670645,40.00609,116.3212,1,469,bike,1
1020011,39.97707,116.3439,1,474,walk,7
1120178,39.9723,116.3257,1,480,walk,7
730012,39.97786,116.3324,3,484,walk,7
1670226,40.00624,116.3203,4,485,walk,7
1670237,39.97993,116.3275,5,489,bike,1
1670645,40.00599,116.3209,1,491,bike,1
1020011,39.97707,116.344,1,499,walk,7
1120178,39.97244,116.3253,1,502,walk,7
730012,39.97819,116.3325,3,506,walk,7
1670237,39.98105,116.3275,5,511,bike,1
1020011,39.97666,116.3442,1,524,walk,7
1120178,39.97247,116.3251,1,524,walk,7
1670237,39.9821,116.3274,5,533,bike,1
1120178,39.97238,116.3248,1,546,walk,7
1260433,39.97624,116.3277,5,546,bike,1
1670860,39.97624,116.3277,5,546,bike,1
1020011,39.97628,116.3443,1,549,walk,7
