id,latitude,longtitude,days,time,transport,Tmode
1670376,39.97559,116.3303,6,2,bike,1
1120175,39.97241,116.3244,7,6,walk,7
1670376,39.97559,116.3303,6,27,bike,1
1120175,39.97205,116.3245,7,28,walk,7
1120175,39.9717,116.3246,7,50,walk,7
1670376,39.97558,116.3303,6,52,bike,1
1120175,39.97175,116.3247,7,72,walk,7
1670376,39.97559,116.3303,6,77,bike,1
1670376,39.97558,116.3303,6,102,bike,1
1670376,39.97558,116.3303,6,127,bike,1
1670376,39.97558,116.3303,6,152,bike,1
1670376,39.97558,116.3303,6,177,bike,1
1670376,39.97558,116.3303,6,202,bike,1
1670376,39.97558,116.3303,6,227,bike,1
1670376,39.97558,116.3303,6,252,bike,1
1120086,39.97558,116.3309,6,429,walk,7
1120086,39.97542,116.3308,6,451,walk,7
1120086,39.97534,116.3303,6,473,walk,7
1120086,39.97524,116.3301,6,495,walk,7
1120086,39.97534,116.3298,6,517,walk,7
1120086,39.9753,116.3294,6,539,walk,7
1120086,39.9754,116.3292,6,561,walk,7
1120086,39.97532,116.3288,6,583,walk,7
1120086,39.9753,116.3286,6,605,walk,7
1120086,39.97543,116.3283,6,627,walk,7
1120086,39.97543,116.3279,6,649,walk,7
1120086,39.97521,116.3279,6,671,walk,7
1120086,39.97499,116.3277,6,693,walk,7
1120086,39.9749,116.3274,6,715,walk,7
1120086,39.97468,116.3274,6,737,walk,7
1120086,39.97444,116.3273,6,759,walk,7
1120086,39.9742,116.3273,6,781,walk,7
1120086,39.97392,116.3276,6,803,walk,7
1120086,39.97367,116.3275,6,825,walk,7
1120086,39.97349,116.3274,6,847,walk,7
1120086,39.97325,116.3275,6,869,walk,7
1120086,39.97305,116.3274,6,891,walk,7
1120191,39.97549,116.3308,6,909,walk,7
1120086,39.97281,116.3274,6,913,walk,7
1120191,39.97593,116.3306,6,931,walk,7
1120086,39.97259,116.3274,6,935,walk,7
1120191,39.97608,116.3303,6,953,walk,7
1120086,39.97243,116.3272,6,957,walk,7
1120191,39.97598,116.33,6,975,walk,7
1120086,39.9725,116.3268,6,979,walk,7
1120191,39.97596,116.3296,6,997,walk,7
1120086,39.97244,116.3266,6,1001,walk,7
1120191,39.97613,116.3294,6,1019,walk,7
1120086,39.97245,116.3263,6,1023,walk,7
1120191,39.97531,116.329,6,1041,walk,7
1120086,39.9724,116.326,6,1045,walk,7
1120191,39.975,116.3287,6,1063,walk,7
1120086,39.97238,116.3257,6,1067,walk,7
1120191,39.97522,116.3285,6,1084,walk,7
1120086,39.97264,116.3254,6,1089,walk,7
1120191,39.97541,116.3282,6,1106,walk,7
1120086,39.97258,116.325,6,1111,walk,7
1120191,39.97538,116.3277,6,1127,walk,7
1120086,39.97248,116.3248,6,1133,walk,7
1670138,39.97754,116.3278,6,1145,bike,1
1120191,39.97501,116.3273,6,1149,walk,7
1120086,39.97245,116.3245,6,1155,walk,7
1670138,39.97845,116.3276,6,1167,bike,1
1120191,39.97476,116.3272,6,1171,walk,7
1120086,39.97203,116.3245,6,1177,walk,7
1670138,39.97933,116.3276,6,1188,bike,1
1120191,39.97445,116.3271,6,1193,walk,7
1120086,39.97174,116.3246,6,1199,walk,7
1670138,39.98022,116.3275,6,1209,bike,1
1120191,39.97424,116.3272,6,1215,walk,7
1120086,39.97161,116.3247,6,1221,walk,7
1670138,39.98112,116.3275,6,1230,bike,1
1120191,39.97401,116.3273,6,1237,walk,7
1120086,39.9717,116.3249,6,1243,walk,7
1670138,39.98201,116.3274,6,1251,bike,1
1120191,39.97374,116.3274,6,1259,walk,7
1120086,39.97185,116.3252,6,1265,walk,7
1670138,39.98286,116.3272,6,1273,bike,1
1120191,39.97349,116.3273,6,1281,walk,7
1120086,39.97195,116.3255,6,1287,walk,7
1670138,39.98388,116.3274,6,1294,bike,1
1120191,39.97311,116.3274,6,1303,walk,7
1670138,39.98473,116.3274,6,1316,bike,1
1120191,39.97292,116.3273,6,1325,walk,7
1670138,39.98492,116.3274,6,1338,bike,1
1120191,39.97277,116.3274,6,1347,walk,7
1670138,39.98586,116.3273,6,1360,bike,1
1120191,39.9725,116.3273,6,1369,walk,7
1670138,39.98657,116.3269,6,1381,bike,1
1120191,39.97272,116.3269,6,1391,walk,7
1670138,39.98763,116.3272,6,1402,bike,1
1120191,39.9725,116.3266,6,1413,walk,7
1120086,39.97204,116.3255,6,1417,walk,7
1670138,39.98862,116.3271,6,1424,bike,1
1120191,39.97255,116.3262,6,1435,walk,7
1120086,39.97109,116.3256,6,1443,walk,7
1670138,39.98954,116.3271,6,1445,bike,1
1120191,39.97259,116.3259,6,1457,walk,7
1670138,39.99048,116.3271,6,1466,bike,1
1120191,39.97245,116.3255,6,1479,walk,7
1670138,39.99129,116.3271,6,1487,bike,1
1120191,39.97254,116.3251,6,1501,walk,7
1670138,39.99152,116.3271,6,1509,bike,1
1120191,39.97257,116.3249,6,1523,walk,7
1670138,39.99232,116.327,6,1531,bike,1
1120191,39.97244,116.3245,6,1545,walk,7
1670138,39.99307,116.3269,6,1553,bike,1
1120191,39.97204,116.3245,6,1567,walk,7
1670138,39.99398,116.3269,6,1575,bike,1
1120191,39.97171,116.3246,6,1589,walk,7
1670138,39.99489,116.327,6,1597,bike,1
1120191,39.97193,116.3249,6,1611,walk,7
1670138,39.99565,116.3269,6,1618,bike,1
1670138,39.99655,116.327,6,1639,bike,1
1670138,39.9974,116.327,6,1660,bike,1
1670138,39.99826,116.327,6,1682,bike,1
1670138,39.99908,116.3268,6,1703,bike,1
1670138,39.99972,116.3261,6,1724,bike,1
1670138,39.99983,116.325,6,1745,bike,1
1670138,39.9998,116.324,6,1766,bike,1
1670138,39.99977,116.3229,6,1787,bike,1
1670138,39.9999,116.3221,6,1809,bike,1
1670138,40.00072,116.3221,6,1831,bike,1
1670138,40.00161,116.322,6,1852,bike,1
1670138,40.00254,116.3219,6,1873,bike,1
1670138,40.00341,116.3218,6,1894,bike,1
1670138,40.00426,116.3217,6,1915,bike,1
1670376,39.97532,116.3303,6,1934,bike,1
1670138,40.0051,116.3216,6,1936,bike,1
1670138,40.00598,116.3216,6,1958,bike,1
1670376,39.97528,116.3303,6,1958,bike,1
1670138,40.00617,116.3205,6,1980,bike,1
1670376,39.97528,116.3302,6,1983,bike,1
1670492,39.97847,116.3274,6,1985,bike,1
1670138,40.00617,116.3204,6,2002,bike,1
1670492,39.97939,116.3274,6,2006,bike,1
1670376,39.9753,116.3302,6,2007,bike,1
1670492,39.98036,116.3274,6,2027,bike,1
1670376,39.97537,116.3302,6,2028,bike,1
1120125,39.97547,116.3306,6,2033,walk,7
1670492,39.98127,116.3273,6,2048,bike,1
1670376,39.97539,116.3302,6,2049,bike,1
1120125,39.97542,116.3302,6,2054,walk,7
1670492,39.98216,116.3273,6,2069,bike,1
1670376,39.97535,116.3303,6,2070,bike,1
1120125,39.97544,116.3299,6,2076,walk,7
1670492,39.98296,116.3276,6,2090,bike,1
1670376,39.97521,116.3304,6,2091,bike,1
1120125,39.97551,116.3295,6,2098,walk,7
1670492,39.98388,116.3275,6,2111,bike,1
1670376,39.97533,116.3304,6,2116,bike,1
1120125,39.97547,116.3291,6,2120,walk,7
1670492,39.98453,116.3272,6,2132,bike,1
1670376,39.97548,116.3305,6,2139,bike,1
1120125,39.97551,116.3287,6,2142,walk,7
1670492,39.98536,116.3275,6,2153,bike,1
1670376,39.97544,116.3305,6,2160,bike,1
1120125,39.97536,116.3284,6,2163,walk,7
1670492,39.98644,116.3276,6,2174,bike,1
1120125,39.97529,116.3282,6,2184,walk,7
1670376,39.97543,116.3305,6,2184,bike,1
1670492,39.98741,116.3272,6,2195,bike,1
1120125,39.97535,116.3277,6,2206,walk,7
1670376,39.97539,116.3304,6,2208,bike,1
1670492,39.98828,116.327,6,2216,bike,1
1120125,39.97507,116.3277,6,2228,walk,7
1670376,39.97535,116.3304,6,2232,bike,1
1670492,39.98912,116.3269,6,2237,bike,1
1120125,39.97517,116.3274,6,2250,walk,7
1670376,39.97531,116.3304,6,2255,bike,1
1670492,39.98996,116.3271,6,2258,bike,1
1120125,39.97478,116.3272,6,2272,walk,7
1670376,39.97519,116.3303,6,2276,bike,1
1670492,39.99085,116.3268,6,2279,bike,1
1120125,39.97444,116.3271,6,2294,walk,7
1670376,39.97521,116.3304,6,2300,bike,1
1670492,39.99182,116.3267,6,2300,bike,1
1120125,39.97413,116.3273,6,2316,walk,7
1670492,39.9927,116.3266,6,2321,bike,1
1670376,39.97521,116.3304,6,2323,bike,1
1120125,39.97395,116.3272,6,2337,walk,7
