"V1","V2","V3","V4","V5","V6"
"id","Sday","Stime","Eday","Etime","transport"
"0100001","2","18:32:29","2","18:40:29","bus"
"0100002","5","22:52:54","5","23:59:59","train"
"0100003","6","00:00:00","6","06:02:00","train"
"0100004","6","09:27:50","6","23:59:59","train"
"0100005","7","00:00:00","7","22:59:59","train"
"0100006","7","23:00:00","1","10:13:11","train"
"0100007","1","11:17:59","1","22:31:06","train"
"0100008","1","23:00:08","1","23:09:01","taxi"
"0100009","2","00:26:04","2","07:35:26","train"
"0100010","2","07:48:32","2","07:59:23","taxi"
"0100011","2","08:00:22","2","08:08:13","walk"
"0100012","2","10:46:35","2","10:54:28","taxi"
"0100013","2","11:15:38","2","18:06:16","train"
"0100014","2","18:22:47","2","18:28:39","taxi"
"0100015","2","18:30:37","2","18:35:35","walk"
"0100016","3","13:09:26","3","13:28:25","walk"
"0100017","3","13:30:57","3","13:34:20","taxi"
"0100018","3","18:24:21","3","18:50:45","bus"
"0100019","4","08:07:03","4","18:31:55","train"
"0100020","4","18:32:24","4","18:46:14","walk"
"0100021","4","18:47:14","4","18:55:07","taxi"
"0100022","4","18:56:06","4","19:06:00","walk"
"0100023","4","20:55:24","4","21:01:49","taxi"
"0100024","4","22:31:51","4","22:59:59","train"
"0100025","4","23:00:00","5","11:13:22","train"
"0100026","5","11:27:25","5","11:30:50","walk"
"0100027","5","11:31:28","5","12:03:35","taxi"
"0100028","5","14:16:50","5","14:53:00","taxi"
"0100029","5","15:49:13","5","22:59:59","train"
"0100030","5","23:00:00","6","10:31:39","train"
"0100031","6","18:22:47","6","22:59:59","train"
"0100032","6","23:00:00","7","08:20:15","train"
"0100033","7","08:25:48","7","08:27:46","walk"
"0100034","7","10:05:04","7","11:58:38","train"
"0100035","7","13:14:26","7","16:19:10","train"
"0100036","7","16:30:20","7","17:21:26","bus"
"0100037","7","14:24:54","7","15:03:44","bus"
"0100038","1","12:50:03","1","14:48:08","bus"
"0100039","6","04:18:47","6","04:31:09","walk"
"0100040","6","04:42:07","6","04:43:26","walk"
"0100041","6","04:44:53","6","04:46:10","walk"
"0100042","1","05:16:50","1","06:17:42","train"
"0100043","1","08:29:12","1","09:03:10","bus"
"0100044","1","09:31:34","1","09:33:03","walk"
